token,window,active_definition,active_addresses,total_balance,gini
AAVE,1d,sent_only,436,5082888.184286615,0.9756238646615527
AAVE,1d,sent_or_received,657,5609503.449444189,0.9781767377032022
AAVE,1w,sent_only,1482,6425819.715891235,0.985330907504115
AAVE,1w,sent_or_received,2588,6983499.673448271,0.9874307084819867
AAVE,1m,sent_only,3976,7267280.704455181,0.9899720559242837
AAVE,1m,sent_or_received,7775,9594127.441706052,0.9905303752925589
AAVE,3m,sent_only,8471,7848346.420586358,0.9931635439443538
AAVE,3m,sent_or_received,17747,10967759.466426698,0.9932368012822363
AAVE,6m,sent_only,15768,9668776.269704482,0.9953136862693726
AAVE,6m,sent_or_received,32670,12894531.064097162,0.9942190956172854
AAVE,1y,sent_only,30020,10353803.666431727,0.9964440521949547
AAVE,1y,sent_or_received,63901,13832657.33549394,0.9947567066614724
AAVE,all,sent_only,83013,11143777.387661621,0.9973538140645402
AAVE,all,sent_or_received,215294,17000899.72230813,0.9928298744095985
