token,window,active_definition,active_addresses,total_balance,gini
UNI,1d,sent_only,479,34683872.71179415,0.9438096188810123
UNI,1d,sent_or_received,844,109107321.63566628,0.9783171674349227
UNI,1w,sent_only,1841,95557804.31492904,0.9751391150858015
UNI,1w,sent_or_received,3154,172277009.15401435,0.9877254902097761
UNI,1m,sent_only,3844,123657671.56989203,0.9846126146423206
UNI,1m,sent_or_received,7325,198433940.38557643,0.9908069403658195
UNI,3m,sent_only,8735,472540148.5373027,0.9969643093318201
UNI,3m,sent_or_received,19566,501819437.33928335,0.9969393405435181
UNI,6m,sent_only,15925,498975430.5927047,0.9977275619761141
UNI,6m,sent_or_received,38586,574195316.9412394,0.9971872746197044
UNI,1y,sent_only,37444,576361218.9003123,0.9983117718460259
UNI,1y,sent_or_received,392544,895649841.1979026,0.9975012845311131
UNI,all,sent_only,192687,658862916.3364552,0.9992195828882773
UNI,all,sent_or_received,440001,895650420.0336705,0.9977706168773419
