token,window,active_definition,active_addresses,total_balance,gini
DAI,1d,sent_only,1267,1451256102.7843363,0.9944113526081684
DAI,1d,sent_or_received,1811,1477589404.5891123,0.9941379990216037
DAI,1w,sent_only,4920,1588913742.948184,0.9945454452058777
DAI,1w,sent_or_received,6788,1836055990.5435007,0.9935433437033356
DAI,1m,sent_only,16376,1822389386.7198493,0.9952553066451741
DAI,1m,sent_or_received,21833,2251839870.3016205,0.9926428069000304
DAI,3m,sent_only,78988,2028740100.8491633,0.9980374755414645
DAI,3m,sent_or_received,90162,2689387548.0434837,0.9961612985965813
DAI,6m,sent_only,161687,2281138703.0886407,0.9985935573517515
DAI,6m,sent_or_received,184663,3669289540.956163,0.996284421363109
DAI,1y,sent_only,199723,2387226841.4711747,0.9985248392256139
DAI,1y,sent_or_received,233039,3810322872.9671645,0.9961578160751345
DAI,all,sent_only,674429,2681618417.6461143,0.9991628816549134
DAI,all,sent_or_received,812736,4375642490.24168,0.9979924407608807
