token,window,active_definition,active_addresses,total_balance,gini
USDT,1d,sent_only,59725,17231325938.502342,0.99579485249444311
USDT,1d,sent_or_received,112117,19370739252.85391,0.99532312655416227
USDT,1w,sent_only,228216,42229632852.89204,0.99722568944797125
USDT,1w,sent_or_received,405460,51412020723.25736,0.99730418953981635
USDT,1m,sent_only,613316,53401620389.685486,0.99756995300123815
USDT,1m,sent_or_received,1033636,67250247473.25729,0.99757180654108355
USDT,3m,sent_only,1889276,57333699116.64965,0.99860719656104795
USDT,3m,sent_or_received,2760688,75728878499.86871,0.99823332432373095
USDT,6m,sent_only,4675759,60366533737.74545,0.99918852180600445
USDT,6m,sent_or_received,6072328,91148235678.25356,0.99885585294272545
USDT,1y,sent_only,5546711,71610660396.61487,0.99920403624896635
USDT,1y,sent_or_received,7700462,92879045757.99562,0.99865373975980365
USDT,all,sent_only,8877519,77693763805.00299,0.99914601181317745
USDT,all,sent_or_received,13790988,97884984629.45636,0.99815864766099385
