token,snapshot_date,window,active_addresses,gini
AAVE,2021-01-01,1d,913,0.9927267351589095
AAVE,2021-01-01,1w,4464,0.9959167219260532
AAVE,2021-01-01,1m,13424,0.9934803941918895
AAVE,2021-01-01,1y,23417,0.990743746657341
AAVE,2021-04-01,1d,862,0.9909097304268963
AAVE,2021-04-01,1w,4623,0.9958156672307321
AAVE,2021-04-01,1m,19152,0.9955178880473863
AAVE,2021-04-01,1y,74955,0.9907793115513854
AAVE,2021-07-01,1d,793,0.9888014546034216
AAVE,2021-07-01,1w,4137,0.9956524476080133
AAVE,2021-07-01,1m,13655,0.9965641590651255
AAVE,2021-07-01,1y,95634,0.9917907238265475
AAVE,2021-10-01,1d,518,0.9840164911795746
AAVE,2021-10-01,1w,2742,0.9931521416253406
AAVE,2021-10-01,1m,10230,0.9952371742782351
AAVE,2021-10-01,1y,110578,0.9910768613938732
AAVE,2022-01-01,1d,587,0.9812867149938354
AAVE,2022-01-01,1w,2243,0.9901993559288553
AAVE,2022-01-01,1m,7451,0.9934668094176355
AAVE,2022-01-01,1y,111550,0.9917564194030517
AAVE,2022-04-01,1d,537,0.9781854072321565
AAVE,2022-04-01,1w,2275,0.9902278923809233
AAVE,2022-04-01,1m,6615,0.9937874852554565
AAVE,2022-04-01,1y,78026,0.9933237315055492
AAVE,2022-07-01,1d,477,0.9754558164059888
AAVE,2022-07-01,1w,1784,0.9881482771449253
AAVE,2022-07-01,1m,6338,0.9916499933415759
AAVE,2022-07-01,1y,60737,0.993379039145899
AAVE,2022-10-01,1d,424,0.9731424693464115
AAVE,2022-10-01,1w,1798,0.9905399360752360
AAVE,2022-10-01,1m,5989,0.9950060578708135
AAVE,2022-10-01,1y,54765,0.9937628682488806
AAVE,2023-01-01,1d,475,0.9872086415962025
AAVE,2023-01-01,1w,3044,0.9943863697850823
AAVE,2023-01-01,1m,13330,0.9947306907179536
AAVE,2023-01-01,1y,69999,0.9914896986730322
AAVE,2023-04-01,1d,570,0.9842897750735873
AAVE,2023-04-01,1w,2629,0.9926201517324722
AAVE,2023-04-01,1m,8014,0.9939969544690261
AAVE,2023-04-01,1y,72142,0.991572085212008
AAVE,2023-07-01,1d,741,0.983316622705706
AAVE,2023-07-01,1w,2884,0.991532975511711
AAVE,2023-07-01,1m,9458,0.9939735257105233
AAVE,2023-07-01,1y,69358,0.9920146266834786
AAVE,2023-10-01,1d,484,0.9859192635012286
AAVE,2023-10-01,1w,2287,0.9921476871428301
AAVE,2023-10-01,1m,6591,0.9945041294868155
AAVE,2023-10-01,1y,68699,0.9916240449255171
AAVE,2024-01-01,1d,608,0.9851348431693217
AAVE,2024-01-01,1w,2915,0.9902580883920453
AAVE,2024-01-01,1y,54075,0.9924841843760457
AAVE,2024-04-01,1d,413,0.9813563536272953
AAVE,2024-04-01,1w,2230,0.9896552663469733
AAVE,2024-04-01,1m,7785,0.9915413716419663
AAVE,2024-04-01,1y,50899,0.9914940675501827
AAVE,2024-07-01,1d,366,0.9801745902072567
AAVE,2024-07-01,1w,1880,0.987450923382801
AAVE,2024-07-01,1m,5691,0.9925030019474184
AAVE,2024-07-01,1y,49579,0.9918706944146571
AAVE,2024-10-01,1d,646,0.9834161847852099
AAVE,2024-10-01,1w,2782,0.9906794915555519
AAVE,2024-10-01,1m,8523,0.999849102611108
AAVE,2024-10-01,1y,49666,0.9999288382041551
AAVE,2025-01-01,1d,1090,0.9832670351384158
AAVE,2025-01-01,1w,4893,0.9920880176436713
AAVE,2025-01-01,1m,19292,0.9931904892284786
AAVE,2025-01-01,1y,58107,0.9999294209528613
AAVE,2025-04-01,1d,931,0.9840384308733363
AAVE,2025-04-01,1w,3176,0.9912041339461883
AAVE,2025-04-01,1m,10833,0.9937030494937005
AAVE,2025-04-01,1y,68485,0.99993805675033
AAVE,2025-07-01,1d,1052,0.9881106701085556
AAVE,2025-07-01,1m,12217,0.9934394201170407
AAVE,2025-07-01,1y,74487,0.9999426311601842
AAVE,2025-10-01,1d,828,0.9856940459302128
AAVE,2025-10-01,1w,3373,0.9895976058894556
AAVE,2025-10-01,1m,10606,0.9932083898251811
AAVE,2025-10-01,1y,80890,0.9940291604377476
AAVE,2026-01-01,1d,1251,0.9870349986119191
AAVE,2026-01-01,1w,3711,0.9902196124484357
AAVE,2026-01-01,1m,10096,0.9925795195959739
AAVE,2026-01-01,1y,75579,0.9946334712339142
AAVE,2026-04-01,1d,779,0.9797703913756868
AAVE,2026-04-01,1w,2997,0.9883959143508598
AAVE,2026-04-01,1m,7907,0.9923340605782587
