token,snapshot_date,window,active_addresses,gini
UNI,2021-01-01,1d,3306,0.9922620055525502
UNI,2021-01-01,1w,10680,0.996955732882562
UNI,2021-01-01,1m,29346,0.9957842576692599
UNI,2021-01-01,1y,128285,0.9954626086183664
UNI,2021-04-01,1d,2511,0.9931877229431374
UNI,2021-04-01,1w,15184,0.9953470795283814
UNI,2021-04-01,1m,57841,0.9968392339832839
UNI,2021-04-01,1y,223687,0.9963446173755646
UNI,2021-07-01,1d,1258,0.9879806000383031
UNI,2021-07-01,1w,6945,0.9942828727084849
UNI,2021-07-01,1m,27472,0.997918965302578
UNI,2021-07-01,1y,282176,0.9964936617000537
UNI,2021-10-01,1d,1061,0.9829484902927719
UNI,2021-10-01,1w,6978,0.99779380282163
UNI,2021-10-01,1m,22129,0.9978833332694925
UNI,2021-10-01,1y,284948,0.9962003329666591
UNI,2022-01-01,1d,886,0.9693831448337209
UNI,2022-01-01,1w,4118,0.9865294782996317
UNI,2022-01-01,1m,16054,0.9965000288366954
UNI,2022-01-01,1y,268390,0.9963850802843359
UNI,2022-04-01,1d,690,0.9716687638215127
UNI,2022-04-01,1w,2795,0.9859605420055391
UNI,2022-04-01,1m,9363,0.992562288024329
UNI,2022-04-01,1y,195855,0.9970949159074163
UNI,2022-07-01,1w,2725,0.9964572282597859
UNI,2022-07-01,1m,8810,0.9966406222116686
UNI,2022-07-01,1y,128045,0.9970335251067499
UNI,2022-10-01,1d,576,0.9714881028810103
UNI,2022-10-01,1w,2731,0.9855326972001563
UNI,2022-10-01,1m,10767,0.9970559108429411
UNI,2022-10-01,1y,106686,0.9969559026642973
UNI,2023-01-01,1d,581,0.9714723262060687
UNI,2023-01-01,1w,3647,0.9900569129749406
UNI,2023-01-01,1m,17977,0.9979166190368531
UNI,2023-01-01,1y,114694,0.9970134756349904
UNI,2023-04-01,1d,707,0.9692892556399424
UNI,2023-04-01,1w,3546,0.9859123373352876
UNI,2023-04-01,1m,10714,0.9900106076824164
UNI,2023-04-01,1y,111590,0.9970903861492417
UNI,2023-07-01,1d,933,0.9688049457183829
UNI,2023-07-01,1w,3981,0.9860829531623161
UNI,2023-07-01,1m,12848,0.9891827530883015
UNI,2023-07-01,1y,112537,0.997379486558392
UNI,2023-10-01,1d,628,0.9816837044907611
UNI,2023-10-01,1w,3141,0.9909997347440973
UNI,2023-10-01,1m,9147,0.9913674209095293
UNI,2023-10-01,1y,108686,0.9973689057347439
UNI,2024-01-01,1d,710,0.9821704179511779
UNI,2024-01-01,1w,4120,0.9896386888981907
UNI,2024-01-01,1y,84359,0.9975046403361627
UNI,2024-04-01,1d,669,0.9817488146399855
UNI,2024-04-01,1w,3553,0.9881866779146591
UNI,2024-04-01,1m,13761,0.9978273843397292
UNI,2024-04-01,1y,83367,0.9975799984807356
UNI,2024-07-01,1d,608,0.9755167217743439
UNI,2024-07-01,1w,2897,0.9868106041550562
UNI,2024-07-01,1m,10049,0.9979948679743422
UNI,2024-07-01,1y,82292,0.9975870641484277
UNI,2024-10-01,1d,727,0.9710535549602031
UNI,2024-10-01,1w,2530,0.9964450371120133
UNI,2024-10-01,1m,7108,0.99699639763082
UNI,2024-10-01,1y,78165,0.9974005376297419
UNI,2025-01-01,1d,1095,0.9704282643003992
UNI,2025-01-01,1w,4383,0.9961794962520569
UNI,2025-01-01,1m,18015,0.9973201136109022
UNI,2025-01-01,1y,78371,0.9974024187177475
UNI,2025-04-01,1d,839,0.9622770638055269
UNI,2025-04-01,1w,2907,0.9826134374192019
UNI,2025-04-01,1m,9456,0.9970185365777937
UNI,2025-04-01,1y,78299,0.9976988638834949
UNI,2025-07-01,1d,1506,0.97206134633262
UNI,2025-07-01,1m,16657,0.9977012844133033
UNI,2025-07-01,1y,86026,0.9978544574524761
UNI,2025-10-01,1d,1200,0.9717492756659931
UNI,2025-10-01,1w,4778,0.9891172669187016
UNI,2025-10-01,1m,14149,0.9978570337730501
UNI,2025-10-01,1y,97311,0.9981911383727649
UNI,2026-01-01,1d,1240,0.97404361423721
UNI,2026-01-01,1w,4190,0.9965344421623477
UNI,2026-01-01,1m,11938,0.996985370720533
UNI,2026-01-01,1y,403778,0.9977894981558997
UNI,2026-04-01,1d,821,0.9509343540414028
UNI,2026-04-01,1w,3049,0.9811580684152805
UNI,2026-04-01,1m,9200,0.9895202049125766
