token,snapshot_date,window,active_addresses,gini
DAI,2021-01-01,1d,7522,0.9993474940215892
DAI,2021-01-01,1w,28625,0.9994783194793941
DAI,2021-01-01,1m,64876,0.9994976171597376
DAI,2021-01-01,1y,269431,0.9994440179628306
DAI,2021-04-01,1d,3563,0.9983980978629066
DAI,2021-04-01,1w,17821,0.9988599716308091
DAI,2021-04-01,1m,58386,0.998959671358888
DAI,2021-04-01,1y,350181,0.9991620791069782
DAI,2021-07-01,1d,4414,0.9984772656014023
DAI,2021-07-01,1w,18201,0.9988188320246276
DAI,2021-07-01,1m,52750,0.9986232488135709
DAI,2021-07-01,1y,366740,0.9988313905592692
DAI,2021-10-01,1d,2962,0.9972297055346109
DAI,2021-10-01,1w,12209,0.9981336525718327
DAI,2021-10-01,1m,41115,0.9983140107113535
DAI,2021-10-01,1y,348290,0.9986202420304087
DAI,2022-01-01,1d,2493,0.9986667565478937
DAI,2022-01-01,1w,10770,0.9993741034404857
DAI,2022-01-01,1m,38133,0.9994588882774242
DAI,2022-01-01,1y,322994,0.9995159034871375
DAI,2022-04-01,1d,2912,0.9987758291200408
DAI,2022-04-01,1w,12623,0.999350646782629
DAI,2022-04-01,1m,38553,0.9992905044237987
DAI,2022-04-01,1y,269739,0.9993936772818401
DAI,2022-07-01,1w,9674,0.9993800395594774
DAI,2022-07-01,1m,36167,0.9992342620523056
DAI,2022-07-01,1y,226558,0.9994436401442495
DAI,2022-10-01,1d,2155,0.9987776482986825
DAI,2022-10-01,1w,9553,0.9995299285710262
DAI,2022-10-01,1m,34175,0.9996180733145541
DAI,2022-10-01,1y,206822,0.9995047080696973
DAI,2023-01-01,1d,1997,0.9988380057006445
DAI,2023-01-01,1w,10729,0.9996402174670489
DAI,2023-01-01,1m,32170,0.9996596662058677
DAI,2023-01-01,1y,192659,0.9995228043340953
DAI,2023-04-01,1d,2180,0.9985022145969256
DAI,2023-04-01,1w,10501,0.9993492539472875
DAI,2023-04-01,1m,35149,0.9990497339037778
DAI,2023-04-01,1y,181704,0.9996339313285827
DAI,2023-07-01,1d,1739,0.9982674992979044
DAI,2023-07-01,1w,6279,0.9992101694867863
DAI,2023-07-01,1m,19438,0.9993030523721527
DAI,2023-07-01,1y,158738,0.9997278695239022
DAI,2023-10-01,1d,1186,0.9974463035895142
DAI,2023-10-01,1w,5751,0.9992149854943455
DAI,2023-10-01,1m,16309,0.9994706105109714
DAI,2023-10-01,1y,138549,0.9997471031480774
DAI,2024-01-01,1d,1378,0.9983344518475901
DAI,2024-01-01,1w,5610,0.9994586668303806
DAI,2024-01-01,1y,120077,0.9998077052255094
DAI,2024-04-01,1d,1255,0.9985485838891053
DAI,2024-04-01,1w,5575,0.9995668283098722
DAI,2024-04-01,1m,16871,0.9997044954130683
DAI,2024-04-01,1y,100360,0.9998077708781159
DAI,2024-07-01,1d,1231,0.9988420594842595
DAI,2024-07-01,1w,5148,0.9996903113029716
DAI,2024-07-01,1m,13717,0.9998448116708105
DAI,2024-07-01,1y,91603,0.9999010978024501
DAI,2024-10-01,1d,1383,0.999071790304835
DAI,2024-10-01,1w,4823,0.9997169652176505
DAI,2024-10-01,1m,13934,0.9998837276843258
DAI,2024-10-01,1y,87767,0.9999469185992349
DAI,2025-01-01,1d,1264,0.9990971562530442
DAI,2025-01-01,1w,4958,0.9997271050251018
DAI,2025-01-01,1m,14829,0.9998793058642057
DAI,2025-01-01,1y,85052,0.9999455581605705
DAI,2025-04-01,1d,1688,0.9993035396673429
DAI,2025-04-01,1w,5766,0.9997798970352703
DAI,2025-04-01,1m,16508,0.9998968301922271
DAI,2025-04-01,1y,85920,0.9999548121184612
DAI,2025-07-01,1d,1595,0.9992868154756864
DAI,2025-07-01,1m,16511,0.9999071639213415
DAI,2025-07-01,1y,90545,0.9999594083088943
DAI,2025-10-01,1d,2263,0.9994876816699734
DAI,2025-10-01,1w,7918,0.99983977169978
DAI,2025-10-01,1m,20766,0.9999147201889202
DAI,2025-10-01,1y,104144,0.9999541020581666
DAI,2026-01-01,1d,4109,0.9997209740554502
DAI,2026-01-01,1w,17518,0.9999299356126481
DAI,2026-01-01,1m,38339,0.9999581264841022
DAI,2026-01-01,1y,134082,0.9999693011207369
DAI,2026-04-01,1d,2707,0.9995688381416781
DAI,2026-04-01,1w,13323,0.9999039380078483
DAI,2026-04-01,1m,46373,0.9999679810897812
